66,180,126,223,67,202
126,223,66,180,99,130
126,223,69,207,67,202
69,207,126,223,96,233
126,223,166,203,155,217
166,203,126,223,99,130
155,217,132,226,126,223
132,226,155,217,175,233
175,233,155,217,170,222
126,223,132,226,96,233
132,226,175,233,96,233
98,62,99,130,61,89
99,130,98,62,163,102
42,169,61,89,99,130
69,207,42,169,67,202
155,217,166,203,170,222
175,107,166,203,163,102
166,203,175,107,207,109
170,222,166,203,176,212
166,203,99,130,163,102
207,109,175,107,208,51
99,130,66,180,42,169
66,180,67,202,42,169
175,233,176,212,207,109
176,212,175,233,170,222
176,212,166,203,207,109
163,102,98,62,208,51
163,102,208,51,175,107
208,51,98,62,82,51
98,62,61,89,82,51
